customerNumber,description,amount,tag
1341936022,MegaBus,-1.39,Transport
1341936022,Lori Alexander,7.55,-
1341936022,Brenda Ward,0.35,-
1341936022,MegaBus,-3.23,Transport
1341936022,Brenda Ward,0.66,-
1341936022,Denise Patterson,11.64,-
1341936022,Superdrug,-9.86,Healthcare
1341936022,Lori Alexander,8.82,-
1341936022,Interest,3.51,-
1341936022,Brenda Ward,27.39,-
1341936022,Alan Scott,0.16,-
1341936022,Salary BACS Payment,2000,Salary
1341936022,Alan Scott,7.59,-
1341936022,Wonga,-11.61,Debt
1341936022,Hitachi Personal Finance,-5.25,Debt
1341936022,Interest,0.44,-
1341936022,Lidl,-15.51,Food
1341936022,Alan Scott,1.86,-
1341936022,M5 GoKarting,-30.01,Entertainment
1341936022,Oxfam,-5.43,Charity
1341936022,Alan Scott,2.13,-
1341936022,Payment received thank you,-185.73,Credit Repayment
1341936022,Arriva Wales,-0.01,Transport
1341936022,Payment received thank you,185.73,Credit Repayment
1341936022,Oxfam,-6.61,Charity
1341936022,Primark,-22.66,Clothing
1341936022,McColls,-6.01,Food
1341936022,Payment received thank you,-99.38,Credit Repayment
1341936022,Payment received thank you,99.38,Credit Repayment
1341936022,Primark,-7.34,Clothing
1341936022,M5 GoKarting,-13.88,Entertainment
1341936022,Brenda Ward,15.64,-
1341936022,M5 GoKarting,-30.21,Entertainment
1341936022,Arriva Wales,-12.71,Transport
1341936022,Wonga,-2.59,Debt
1341936022,Paintball UK,-19.3,Entertainment
1341936022,Supercuts,-12.98,Healthcare
1341936022,Payment received thank you,-94.25,Credit Repayment
1341936022,National Express,-0.01,Transport
1341936022,Matalan,-0.01,Clothing
1341936022,Payment received thank you,94.25,Credit Repayment
1341936022,Save the Children,-11.93,Charity
1341936022,M5 GoKarting,-29.32,Entertainment
1341936022,National Express,-10.51,Transport
1341936022,Wonga,-3.98,Debt
1341936022,Shelter,-3.62,Savings
1341936022,Barclaycard,-4.71,Debt
1341936022,McColls,-15.77,Food
1341936022,Subway,-10.85,Food
1341936022,McColls,-2.88,Food
1341936022,National Express,-3.16,Transport
1341936022,Hitachi Personal Finance,-5.14,Debt
1341936022,Alan Scott,14.31,-
1341936022,Payment received thank you,-36.58,Credit Repayment
1341936022,Bodyshop,-0.01,Healthcare
1341936022,Payment received thank you,-79.83,Credit Repayment
1341936022,Payment received thank you,36.58,Credit Repayment
1341936022,Payment received thank you,79.83,Credit Repayment
1341936022,Alan Scott,6.69,-
1341936022,Primark,-18.7,Clothing
1341936022,Subway,-0.01,Food
1341936022,Payment received thank you,-228.48,Credit Repayment
1341936022,Paintball UK,-28.21,Entertainment
1341936022,Save the Children,-0.01,Charity
1341936022,Bodyshop,-29.53,Healthcare
1341936022,National Express,-1.13,Transport
1341936022,Payment received thank you,228.48,Credit Repayment
1341936022,Hitachi Personal Finance,-6.76,Debt
1341936022,Superdrug,-38.63,Healthcare
1341936022,RSPCA,-6.43,Savings
1341936022,Subway,-10.12,Food
1341936022,Paintball UK,-8.9,Entertainment
1341936022,Cancer Research,-12.87,Savings
1341936022,Superdrug,-23.74,Healthcare
1341936022,Bodyshop,-42.07,Healthcare
1341936022,Superdrug,-21.69,Healthcare
1341936022,Payment received thank you,-19.4,Credit Repayment
1341936022,McColls,-14.39,Food
1341936022,Payment received thank you,19.4,Credit Repayment
1341936022,Paintball UK,-27.23,Entertainment
1341936022,Alan Scott,6.94,-
1341936022,Lori Alexander,9.7,-
1341936022,Save the Children,-5.6,Savings
1341936022,Matalan,-20.67,Clothing
1341936022,Lidl,-15.56,Food
1341936022,WWF,-7.34,Charity
1341936022,Barclaycard,-0.01,Debt
1341936022,Three Mobile,-3.59,Mobile
1341936022,Lidl,-29.47,Food
1341936022,Hitachi Personal Finance,-11.37,Debt
1341936022,M5 GoKarting,-23.52,Entertainment
1341936022,Superdrug,-15.34,Healthcare
1341936022,Wonga,-14.04,Debt
1341936022,Arriva Wales,-0.01,Transport
1341936022,Save the Children,-3.83,Charity
1341936022,Sports Direct,-0.01,Clothing
1341936022,Lidl,-1.12,Food
1341936022,Bodyshop,-41.76,Healthcare
1341936022,Shelter,-0.01,Savings
1341936022,Lidl,-6.88,Food
1341936022,Lori Alexander,10.88,-
1341936022,Lidl,-1.4,Food
1341936022,Denise Patterson,14.96,-
1341936022,Denise Patterson,3.92,-
1341936022,Lidl,-24.52,Food
1341936022,National Express,-1.01,Transport
1341936022,M5 GoKarting,-40.21,Entertainment
1341936022,M5 GoKarting,-24.77,Entertainment
1341936022,Paintball UK,-26.02,Entertainment
1341936022,McColls,-20.2,Food
1341936022,Subway,-21.65,Food
1341936022,Nicole Bailey,3.64,-
1341936022,Thames Water,-30.32,Water
1341936022,WWF,-1.96,Savings
1341936022,Alan Scott,5.9,-
1341936022,Rent,-940,Housing
1341936022,Alan Scott,0.71,-
1341936022,Denise Patterson,4.58,-
1341936022,Interest,1.08,-
1341936022,Interest,7.11,-
1341936022,Brenda Ward,0.14,-
1341936022,Lori Alexander,5.93,-
1341936022,Alan Scott,0.18,-
1341936022,Brenda Ward,6.87,-
1341936022,Lori Alexander,11.62,-
1341936022,Interest,9.44,-
1341936022,Brenda Ward,7.11,-
1341936022,Interest,2.25,-
1341936022,Lori Alexander,2.84,-
1341936022,Interest,3.37,-
1341936022,Brenda Ward,8.39,-
1341936022,Lori Alexander,7.01,-
1341936022,Alan Scott,1.06,-
1341936022,Denise Patterson,1.9,-
1341936022,Interest,4.68,-
1341936022,Nicole Bailey,1.83,-
1341936022,Brenda Ward,14.73,-
1341936022,Brenda Ward,0.3,-
1341936022,Salary BACS Payment,2000,Salary
1341936022,Interest,0.37,-
1341936022,RSPCA,-0.01,Savings
1341936022,WWF,-5.94,Charity
1341936022,RSPCA,-0.01,Savings
1341936022,Lush,-20.26,Healthcare
1341936022,Supercuts,-24.7,Healthcare
1341936022,Sports Direct,-6.76,Clothing
1341936022,National Express,-0.88,Transport
1341936022,Sports Direct,-18.89,Clothing
1341936022,Alan Scott,0.86,-
1341936022,Lush,-19.38,Healthcare
1341936022,Alan Scott,3.4,-
1341936022,WWF,-10.14,Charity
1341936022,Supercuts,-29.7,Healthcare
1341936022,Paintball UK,-27.26,Entertainment
1341936022,WWF,-4.95,Savings
1341936022,Payment received thank you,-69.58,Credit Repayment
1341936022,M5 GoKarting,-33.15,Entertainment
1341936022,National Express,-6.03,Transport
1341936022,Payment received thank you,69.58,Credit Repayment
1341936022,Payment received thank you,16.15,Credit Repayment
1341936022,Payment received thank you,-16.15,Credit Repayment
1341936022,Hitachi Personal Finance,-10.53,Debt
1341936022,Payment received thank you,42.23,Credit Repayment
1341936022,Payment received thank you,-42.23,Credit Repayment
1341936022,Arriva Wales,-6.34,Transport
1341936022,Hitachi Personal Finance,-3.67,Debt
1341936022,MegaBus,-2.53,Transport
1341936022,McColls,-16.72,Food
1341936022,Barclaycard,-3.87,Debt
1341936022,Save the Children,-9.43,Charity
1341936022,Payment received thank you,132.1,Credit Repayment
1341936022,WWF,-5.78,Charity
1341936022,American Express,-9.1,Debt
1341936022,Payment received thank you,-132.1,Credit Repayment
1341936022,Save the Children,-7.09,Charity
1341936022,WWF,-6.73,Charity
1341936022,Payment received thank you,-139.14,Credit Repayment
1341936022,M5 GoKarting,-37.26,Entertainment
1341936022,Payment received thank you,139.14,Credit Repayment
1341936022,Subway,-19.82,Food
1341936022,Payment received thank you,-10.29,Credit Repayment
1341936022,Payment received thank you,10.29,Credit Repayment
1341936022,Payment received thank you,-57.23,Credit Repayment
1341936022,Payment received thank you,57.23,Credit Repayment
1341936022,Barclaycard,-1.99,Debt
1341936022,Lush,-18.03,Healthcare
1341936022,Superdrug,-11.62,Healthcare
1341936022,Payment received thank you,-225.84,Credit Repayment
1341936022,Payment received thank you,225.84,Credit Repayment
1341936022,Supercuts,-13.21,Healthcare
1341936022,McColls,-35.56,Food
1341936022,Payment received thank you,69.08,Credit Repayment
1341936022,Payment received thank you,-69.08,Credit Repayment
1341936022,Matalan,-13.03,Clothing
1341936022,Arriva Wales,-10,Transport
1341936022,M5 GoKarting,-33.93,Entertainment
1341936022,Three Mobile,-3.59,Mobile
1341936022,McColls,-11.27,Food
1341936022,Primark,-15.82,Clothing
1341936022,Brenda Ward,4.09,-
1341936022,McColls,-24.86,Food
1341936022,Lidl,-13.41,Food
1341936022,Thames Water,-30.32,Water
1341936022,Lidl,-30.29,Food
1341936022,TicketMaster,-36.21,Entertainment
1341936022,Wonga,-6.04,Debt
1341936022,Lush,-21.58,Healthcare
1341936022,Oxfam,-11.91,Charity
1341936022,Primark,-22.42,Clothing
1341936022,TicketMaster,-31.4,Entertainment
1341936022,McColls,-24.29,Food
1341936022,Interest,2.68,-
1341936022,Wonga,-0.01,Debt
1341936022,M5 GoKarting,-19.74,Entertainment
1341936022,National Express,-13.4,Transport
1341936022,Denise Patterson,0.56,-
1341936022,Primark,-6.12,Clothing
1341936022,MegaBus,-14.48,Transport
1341936022,Save the Children,-5.99,Savings
1341936022,Brenda Ward,0.75,-
1341936022,Rent,-940,Housing
1341936022,Alan Scott,5.33,-
1341936022,Matalan,-18.65,Clothing
1341936022,Alan Scott,3.74,-
1341936022,Nicole Bailey,0.95,-
1341936022,Brenda Ward,9.75,-
1341936022,Brenda Ward,17.85,-
1341936022,Denise Patterson,11.92,-
1341936022,Salary BACS Payment,2000,Salary
1341936022,Arriva Wales,-2.63,Transport
1341936022,Arriva Wales,-5.24,Transport
1341936022,M5 GoKarting,-44.12,Entertainment
1341936022,Nicole Bailey,2.31,-
1341936022,Lush,-12.04,Healthcare
1341936022,Primark,-7.82,Clothing
1341936022,Payment received thank you,-4.1,Credit Repayment
1341936022,Paintball UK,-14.21,Entertainment
1341936022,Paintball UK,-25.34,Entertainment
1341936022,MegaBus,-8.25,Transport
1341936022,Payment received thank you,-51.98,Credit Repayment
1341936022,Payment received thank you,4.1,Credit Repayment
1341936022,Payment received thank you,51.98,Credit Repayment
1341936022,Paintball UK,-30.81,Entertainment
1341936022,Lidl,-4.25,Food
1341936022,TicketMaster,-29,Entertainment
1341936022,National Express,-0.01,Transport
1341936022,RSPCA,-0.01,Charity
1341936022,Hitachi Personal Finance,-9.79,Debt
1341936022,Sports Direct,-0.88,Clothing
1341936022,Payment received thank you,-118.98,Credit Repayment
1341936022,Payment received thank you,-197.25,Credit Repayment
1341936022,Payment received thank you,-37.52,Credit Repayment
1341936022,Payment received thank you,197.25,Credit Repayment
1341936022,Denise Patterson,5.91,-
1341936022,Paintball UK,-27.14,Entertainment
1341936022,Nicole Bailey,0.64,-
1341936022,TicketMaster,-36.04,Entertainment
1341936022,TicketMaster,-39.07,Entertainment
1341936022,Payment received thank you,118.98,Credit Repayment
1341936022,RSPCA,-2.66,Charity
1341936022,Payment received thank you,37.52,Credit Repayment
1341936022,Paintball UK,-30.25,Entertainment
1341936022,Subway,-11.36,Food
1341936022,Payment received thank you,40.73,Credit Repayment
1341936022,Subway,-18.28,Food
1341936022,Lidl,-8.1,Food
1341936022,Payment received thank you,-71.75,Credit Repayment
1341936022,M5 GoKarting,-29.33,Entertainment
1341936022,McColls,-13.87,Food
1341936022,Subway,-5.16,Food
1341936022,Payment received thank you,-40.73,Credit Repayment
1341936022,TicketMaster,-37.9,Entertainment
1341936022,Bodyshop,-21.15,Healthcare
1341936022,MegaBus,-3.35,Transport
1341936022,Arriva Wales,-4.37,Transport
1341936022,Payment received thank you,-111.55,Credit Repayment
1341936022,Payment received thank you,111.55,Credit Repayment
1341936022,Cancer Research,-10.19,Savings
1341936022,WWF,-3.52,Savings
1341936022,Shelter,-5.91,Savings
1341936022,Lidl,-16.09,Food
1341936022,Payment received thank you,71.75,Credit Repayment
1341936022,Payment received thank you,66.73,Credit Repayment
1341936022,MegaBus,-16.68,Transport
1341936022,Payment received thank you,-66.73,Credit Repayment
1341936022,Primark,-18.27,Clothing
1341936022,Sports Direct,-0.8,Clothing
1341936022,Interest,5.51,-
1341936022,Arriva Wales,-10.83,Transport
1341936022,National Express,-10.9,Transport
1341936022,MegaBus,-5.17,Transport
1341936022,Oxfam,-0.33,Savings
1341936022,Lori Alexander,1.34,-
1341936022,Brenda Ward,8.24,-
1341936022,TicketMaster,-21.6,Entertainment
1341936022,Three Mobile,-3.59,Mobile
1341936022,Payment received thank you,32.18,Credit Repayment
1341936022,Barclaycard,-8.33,Debt
1341936022,Supercuts,-28.97,Healthcare
1341936022,Brenda Ward,7.23,-
1341936022,Payment received thank you,-32.18,Credit Repayment
1341936022,Primark,-12.81,Clothing
1341936022,Paintball UK,-19.91,Entertainment
1341936022,MegaBus,-0.01,Transport
1341936022,Arriva Wales,-2.67,Transport
1341936022,Thames Water,-30.32,Water
1341936022,M5 GoKarting,-12.98,Entertainment
1341936022,Shelter,-0.01,Charity
1341936022,Matalan,-5.8,Clothing
1341936022,WWF,-8.79,Savings
1341936022,Alan Scott,4.27,-
1341936022,Lidl,-5.81,Food
1341936022,Arriva Wales,-0.64,Transport
1341936022,Arriva Wales,-0.01,Transport
1341936022,Barclaycard,-0.12,Debt
1341936022,MegaBus,-0.01,Transport
1341936022,Oxfam,-7.03,Savings
1341936022,Rent,-940,Housing
1341936022,M5 GoKarting,-37.04,Entertainment
1341936022,WWF,-0.01,Savings
1341936022,Hitachi Personal Finance,-2.8,Debt
1341936022,Bodyshop,-12.05,Healthcare
1341936022,Supercuts,-7.65,Healthcare
1341936022,Lidl,-3.44,Food
1341936022,M5 GoKarting,-20.13,Entertainment
1341936022,Sports Direct,-32.97,Clothing
1341936022,Cancer Research,-4.69,Savings
1341936022,Lori Alexander,5.33,-
1341936022,Superdrug,-22.63,Healthcare
1341936022,Sports Direct,-26.72,Clothing
1341936022,Alan Scott,4.51,-
1341936022,Denise Patterson,0.23,-
1341936022,Lush,-9.62,Healthcare
1341936022,Brenda Ward,1.99,-
1341936022,Lori Alexander,3.1,-
1341936022,Lori Alexander,2.17,-
1341936022,Nicole Bailey,6.37,-
1341936022,Arriva Wales,-13.43,Transport
1341936022,Lidl,-31.1,Food
1341936022,Subway,-18.78,Food
1341936022,Nicole Bailey,2.5,-
1341936022,Lori Alexander,0.02,-
1341936022,Lidl,-13.65,Food
1341936022,Matalan,-9.93,Clothing
1341936022,Wonga,-1.75,Debt
1341936022,TicketMaster,-28.91,Entertainment
1341936022,Salary BACS Payment,2000,Salary
1341936022,Save the Children,-0.01,Savings
1341936022,Interest,1.88,-
1341936022,Bodyshop,-24.63,Healthcare
1341936022,Superdrug,-6.83,Healthcare
1341936022,Bodyshop,-11.07,Healthcare
1341936022,Alan Scott,2.53,-
1341936022,Primark,-21.57,Clothing
1341936022,Lush,-16.27,Healthcare
1341936022,Bodyshop,-19.64,Healthcare
1341936022,McColls,-16.25,Food
1341936022,Arriva Wales,-0.27,Transport
1341936022,National Express,-7.79,Transport
1341936022,Payment received thank you,-27.28,Credit Repayment
1341936022,Payment received thank you,-42.42,Credit Repayment
1341936022,Payment received thank you,42.42,Credit Repayment
1341936022,American Express,-0.01,Debt
1341936022,Payment received thank you,27.28,Credit Repayment
1341936022,Paintball UK,-32.93,Entertainment
1341936022,Subway,-15.6,Food
1341936022,TicketMaster,-25.03,Entertainment
1341936022,Bodyshop,-28.15,Healthcare
1341936022,Lori Alexander,0.17,-
1341936022,Sports Direct,-13.85,Clothing
1341936022,Payment received thank you,-308.51,Credit Repayment
1341936022,Payment received thank you,308.51,Credit Repayment
1341936022,MegaBus,-8.3,Transport
1341936022,Supercuts,-9.88,Healthcare
1341936022,Subway,-14.64,Food
1341936022,Nicole Bailey,1.5,-
1341936022,McColls,-14.5,Food
1341936022,Three Mobile,-3.59,Mobile
1341936022,Sports Direct,-0.01,Clothing
1341936022,Payment received thank you,87.64,Credit Repayment
1341936022,M5 GoKarting,-20.45,Entertainment
1341936022,McColls,-1.51,Food
1341936022,American Express,-5.98,Debt
1341936022,Payment received thank you,-87.64,Credit Repayment
1341936022,Barclaycard,-4.5,Debt
1341936022,Oxfam,-7.11,Charity
1341936022,Lush,-18.47,Healthcare
1341936022,Hitachi Personal Finance,-3.06,Debt
1341936022,RSPCA,-0.01,Charity
1341936022,Primark,-13.39,Clothing
1341936022,Thames Water,-30.32,Water
1341936022,Interest,3.02,-
1341936022,McColls,-7.99,Food
1341936022,McColls,-17.1,Food
1341936022,M5 GoKarting,-43.15,Entertainment
1341936022,Shelter,-1.96,Savings
1341936022,WWF,-1.72,Savings
1341936022,McColls,-25.35,Food
1341936022,Lush,-1.29,Healthcare
1341936022,Alan Scott,7.36,-
1341936022,Save the Children,-0.84,Savings
1341936022,M5 GoKarting,-14.64,Entertainment
1341936022,TicketMaster,-17.85,Entertainment
1341936022,Subway,-0.01,Food
1341936022,American Express,-8.57,Debt
1341936022,Shelter,-10.73,Charity
1341936022,Lori Alexander,1.59,-
1341936022,Wonga,-0.3,Debt
1341936022,Barclaycard,-10.85,Debt
1341936022,Oxfam,-9.37,Charity
1341936022,Wonga,-3.58,Debt
1341936022,Payment received thank you,-39.2,Credit Repayment
1341936022,Payment received thank you,39.2,Credit Repayment
1341936022,Payment received thank you,10.33,Credit Repayment
1341936022,Paintball UK,-14.84,Entertainment
1341936022,American Express,-0.46,Debt
1341936022,Supercuts,-30.3,Healthcare
1341936022,Primark,-28.38,Clothing
1341936022,Payment received thank you,-10.33,Credit Repayment
1341936022,Paintball UK,-26.65,Entertainment
1341936022,Wonga,-0.01,Debt
1341936022,Cancer Research,-10.7,Savings
1341936022,Rent,-940,Housing
1341936022,Paintball UK,-24.06,Entertainment
1341936022,Save the Children,-0.01,Charity
1341936022,Lidl,-13.32,Food
1341936022,National Express,-12.76,Transport
1341936022,TicketMaster,-42.19,Entertainment
1341936022,Lush,-6.96,Healthcare
1341936022,Denise Patterson,4.05,-
1341936022,Denise Patterson,1.74,-
1341936022,Alan Scott,18.32,-
1341936022,RSPCA,-10.18,Savings
1341936022,Save the Children,-0.16,Charity
1341936022,Matalan,-5.5,Clothing
1341936022,Matalan,-16.55,Clothing
1341936022,Shelter,-2.72,Savings
1341936022,Alan Scott,1.12,-
1341936022,Oxfam,-2.57,Charity
1341936022,TicketMaster,-37.29,Entertainment
1341936022,Arriva Wales,-0.01,Transport
1341936022,Paintball UK,-39.97,Entertainment
1341936022,Lori Alexander,4.39,-
1341936022,Interest,2.39,-
1341936022,Supercuts,-10.09,Healthcare
1341936022,Salary BACS Payment,2000,Salary
1341936022,Save the Children,-5.68,Charity
1341936022,Lush,-15.47,Healthcare
1341936022,Sports Direct,-24.62,Clothing
1341936022,Cancer Research,-3.79,Savings
1341936022,Lidl,-12.76,Food
1341936022,Nicole Bailey,1.33,-
1341936022,M5 GoKarting,-27.52,Entertainment
1341936022,Subway,-7.52,Food
1341936022,Sports Direct,-33.54,Clothing
1341936022,M5 GoKarting,-31.72,Entertainment
1341936022,Barclaycard,-0.01,Debt
1341936022,McColls,-0.01,Food
1341936022,American Express,-3.19,Debt
1341936022,MegaBus,-3.3,Transport
1341936022,Supercuts,-6.75,Healthcare
1341936022,Oxfam,-3.84,Savings
1341936022,McColls,-17.74,Food
1341936022,Denise Patterson,3.72,-
1341936022,Shelter,-0.01,Savings
1341936022,RSPCA,-8.3,Charity
1341936022,Superdrug,-21.78,Healthcare
1341936022,McColls,-22.32,Food
1341936022,Interest,5.45,-
1341936022,M5 GoKarting,-37.89,Entertainment
1341936022,Wonga,-0.01,Debt
1341936022,Payment received thank you,-0.46,Credit Repayment
1341936022,Payment received thank you,0.46,Credit Repayment
1341936022,McColls,-20.02,Food
1341936022,Payment received thank you,130.61,Credit Repayment
1341936022,Sports Direct,-19.82,Clothing
1341936022,Oxfam,-19.14,Charity
1341936022,MegaBus,-10.89,Transport
1341936022,Save the Children,-0.01,Charity
1341936022,Lush,-11.2,Healthcare
1341936022,Denise Patterson,1.89,-
1341936022,TicketMaster,-23.8,Entertainment
1341936022,Paintball UK,-30.27,Entertainment
1341936022,Payment received thank you,103.74,Credit Repayment
1341936022,Save the Children,-12.47,Charity
1341936022,Payment received thank you,-130.61,Credit Repayment
1341936022,Matalan,-14.94,Clothing
1341936022,Payment received thank you,-103.74,Credit Repayment
1341936022,Payment received thank you,-100.97,Credit Repayment
1341936022,Three Mobile,-3.59,Mobile
1341936022,Lidl,-11.3,Food
1341936022,Payment received thank you,100.97,Credit Repayment
1341936022,Cancer Research,-2.54,Charity
1341936022,Sports Direct,-19.62,Clothing
1341936022,Lush,-19.16,Healthcare
1341936022,Payment received thank you,-90.67,Credit Repayment
1341936022,Payment received thank you,90.67,Credit Repayment
1341936022,Matalan,-26.39,Clothing
1341936022,Thames Water,-30.32,Water
1341936022,RSPCA,-4.6,Savings
1341936022,Brenda Ward,7.26,-
1341936022,Paintball UK,-40.5,Entertainment
1341936022,Paintball UK,-43.57,Entertainment
1341936022,National Express,-4.94,Transport
1341936022,MegaBus,-11.93,Transport
1341936022,Superdrug,-21.75,Healthcare
1341936022,Payment received thank you,50.93,Credit Repayment
1341936022,Payment received thank you,-50.93,Credit Repayment
1341936022,Alan Scott,9.91,-
1341936022,Bodyshop,-1.25,Healthcare
1341936022,Paintball UK,-19.83,Entertainment
1341936022,MegaBus,-5.37,Transport
1341936022,Superdrug,-17.33,Healthcare
1341936022,National Express,-0.01,Transport
1341936022,Subway,-20.57,Food
1341936022,Shelter,-0.01,Savings
1341936022,Payment received thank you,-13.2,Credit Repayment
1341936022,Save the Children,-3.81,Charity
1341936022,Denise Patterson,4.71,-
1341936022,McColls,-38.62,Food
1341936022,Primark,-0.01,Clothing
1341936022,Payment received thank you,13.2,Credit Repayment
1341936022,M5 GoKarting,-37.5,Entertainment
1341936022,Superdrug,-20.27,Healthcare
1341936022,McColls,-15.18,Food
1341936022,Save the Children,-7.31,Savings
1341936022,Rent,-940,Housing
1341936022,Paintball UK,-17.3,Entertainment
1341936022,McColls,-18.87,Food
1341936022,Superdrug,-25.99,Healthcare
1341936022,Brenda Ward,0.49,-
1341936022,Paintball UK,-22.65,Entertainment
1341936022,McColls,-9.97,Food
1341936022,RSPCA,-1.55,Savings
1341936022,Nicole Bailey,1.43,-
1341936022,Nicole Bailey,0.75,-
1341936022,Lush,-23.06,Healthcare
1341936022,Lori Alexander,1.11,-
1341936022,Salary BACS Payment,2000,Salary
1341936022,Alan Scott,3.6,-
1341936022,National Express,-11.75,Transport
1341936022,Supercuts,-2.8,Healthcare
1341936022,M5 GoKarting,-43.99,Entertainment
1341936022,Denise Patterson,5.37,-
1341936022,Wonga,-3.18,Debt
1341936022,WWF,-0.01,Savings
1341936022,Interest,1.37,-
1341936022,Supercuts,-7.86,Healthcare
1341936022,Oxfam,-12.32,Savings
1341936022,Shelter,-10.61,Savings
1341936022,McColls,-9.99,Food
1341936022,Wonga,-0.01,Debt
1341936022,Payment received thank you,17.98,Credit Repayment
1341936022,American Express,-7.1,Debt
1341936022,Subway,-13.47,Food
1341936022,Payment received thank you,-17.98,Credit Repayment
1341936022,Save the Children,-10.68,Savings
1341936022,Save the Children,-2.67,Charity
1341936022,Interest,1.79,-
1341936022,Bodyshop,-8.95,Healthcare
1341936022,Brenda Ward,1.22,-
1341936022,Oxfam,-0.85,Savings
1341936022,Arriva Wales,-4.04,Transport
1341936022,Subway,-10.84,Food
1341936022,M5 GoKarting,-53.42,Entertainment
1341936022,Superdrug,-0.01,Healthcare
1341936022,Shelter,-0.01,Charity
1341936022,Payment received thank you,-176.83,Credit Repayment
1341936022,Payment received thank you,176.83,Credit Repayment
1341936022,Arriva Wales,-2.7,Transport
1341936022,National Express,-0.01,Transport
1341936022,Save the Children,-13.55,Charity
1341936022,Superdrug,-13.12,Healthcare
1341936022,Save the Children,-4.61,Charity
1341936022,Paintball UK,-31.45,Entertainment
1341936022,Shelter,-3.92,Charity
1341936022,Arriva Wales,-10.54,Transport
1341936022,Wonga,-11.77,Debt
1341936022,Matalan,-28.82,Clothing
1341936022,Paintball UK,-25.33,Entertainment
1341936022,McColls,-7.23,Food
1341936022,Alan Scott,5.67,-
1341936022,Bodyshop,-11.59,Healthcare
1341936022,Hitachi Personal Finance,-14.24,Debt
1341936022,Paintball UK,-25.51,Entertainment
1341936022,Subway,-18.97,Food
1341936022,Shelter,-6.92,Savings
1341936022,Payment received thank you,-7.6,Credit Repayment
1341936022,Payment received thank you,7.6,Credit Repayment
1341936022,Payment received thank you,-34.48,Credit Repayment
1341936022,Arriva Wales,-4.99,Transport
1341936022,Superdrug,-10.96,Healthcare
1341936022,Save the Children,-15.05,Charity
1341936022,Sports Direct,-25.57,Clothing
1341936022,Three Mobile,-3.59,Mobile
1341936022,Paintball UK,-28.52,Entertainment
1341936022,TicketMaster,-39.74,Entertainment
1341936022,Primark,-9.83,Clothing
1341936022,Paintball UK,-23.74,Entertainment
1341936022,Payment received thank you,34.48,Credit Repayment
1341936022,Payment received thank you,-262.4,Credit Repayment
1341936022,Barclaycard,-9.31,Debt
1341936022,Payment received thank you,262.4,Credit Repayment
1341936022,Subway,-0.01,Food
1341936022,Thames Water,-30.32,Water
1341936022,Denise Patterson,2.04,-
1341936022,Lidl,-11.07,Food
1341936022,Lori Alexander,0.57,-
1341936022,Matalan,-0.01,Clothing
1341936022,McColls,-38,Food
1341936022,Lidl,-3.99,Food
